HospitalID,name,mon_start,tue_start,wed_start,thu_start,fri_start,sat_start,sun_start,hol_start,mon_end,tue_end,wed_end,thu_end,fri_end,sat_end,sun_end,hol_end,businessHours
763,다래동물병원,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,1080,0,0,평일 10:00~20:00/토 10:00~18:00
764,디아나동물병원,600,600,600,600,600,600,0,600,1200,1200,1200,1200,1200,1200,0,1200,"평일,토요일,공휴일 10:00~20:00"
765,이상록동물병원,570,570,780,570,570,0,0,600,1140,1140,1320,1140,1140,0,0,1020,평일 09:30~19:00 / 수요일 13:00~22:00 / 공휴일 10:00~17:00
766,스카이동물병원,600,600,600,600,600,600,600,0,1140,1140,1140,1140,1140,990,990,0,평일 10:00~19:00/주말 10:00~16:30
767,준동물병원,660,660,660,660,660,660,780,0,1140,1140,1140,1140,1140,960,1020,0,평일 11:00~19:00 / 토요일 11:00~16:00 / 일요일 13:00~17:00 (예약진료만 가능)
768,이안동물의학센터,540,540,540,540,540,540,540,540,1260,1260,1260,1260,1260,1260,1260,1260,매일 09:00~21:00
769,동물병원 닥터K,630,630,630,630,630,630,0,630,1260,1260,1260,1260,1260,1080,0,1080,"평일 10:30~21:00 / 토,공휴일 10:30~18:00"
770,노아동물병원,540,540,540,540,540,540,540,540,1080,1080,1080,1080,1080,1080,1080,1080,
771,달링동물병원,600,600,600,600,600,600,0,0,1140,1140,1140,1140,1140,1020,0,0,평일 10:00~19:00 / 토요일 10:00~17:00
772,봄사랑동물병원,600,600,600,600,600,600,0,0,1140,1140,1140,1140,1140,1020,0,0,평일 10:00~19:00/토 10:00~17:00
773,동물병원 움,600,600,600,600,600,600,600,600,1200,1200,1200,1200,1200,1200,1200,1200,매일 10:00~20:00
774,넬동물병원,570,570,570,570,570,570,570,0,1320,1320,1320,1320,1320,1320,1200,0,"평일,토 09:30~22:00/일 09:30~20:00"
775,동물사랑 동물병원,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,1200,0,0,"평일,토요일 10:00~20:00"
776,참좋은동물병원,570,570,570,570,570,570,0,570,1200,1200,1200,1200,1200,1080,0,1080,"평일 09:30~20:00/토,공휴일 09:30~18:00"
777,프렌즈동물병원,600,600,600,600,600,600,0,600,1200,1200,1200,1200,1200,1080,0,1080,"평일 10:00~20:00/토,공휴일 10:00~18:00"
778,피카소동물병원,570,570,570,570,570,570,570,570,1200,1200,1200,1200,1200,1200,1020,1200,매일 09:30~20:00 (진료접수마감 19시) / 일요일 09:30~17:00 (진료마감16시)
779,더조은동물의료센터,570,570,570,570,570,570,600,0,1290,1290,1290,1290,1290,1290,1200,0,월~토 09:30~21:30/일 10:00~20:00
780,닥터펫동물병원,600,600,600,600,600,600,600,600,1320,1320,1320,1320,1320,1320,1320,1320,매일 10:00~22:00
781,카카오N동물병원,600,600,600,600,600,0,0,0,1200,1200,1200,1200,1200,0,0,0,평일 10:00~20:00
782,꿈꾸는동물병원,600,600,840,600,600,600,0,0,1140,1380,1140,1140,1140,960,0,0,"월,목,금요일 10:00~19:00 / 화요일 10:00~23:00 / 수요일 14:00~19:00 / 토요일 10:00~16:00"
783,북악동물병원,540,540,540,540,540,540,0,0,1170,1170,1170,1170,1170,900,0,0,"평일 09:00~19:30/토 09:00~15:00/(일,공휴일 예약진료)"
784,구름동물병원,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,1140,0,0,평일 10:00~20:00 / 토요일 10:00~19:00
785,에이플러스동물병원,600,600,600,600,600,600,600,600,1200,1200,1200,1200,1200,1200,1080,1080,"월~토 10:00~20:00 / 일,공휴일 10:00~18:00"
786,스마트 동물병원,540,540,540,540,540,540,540,540,1350,1350,1350,1350,1350,1350,1350,1350,매일 09:00~22:30
787,굿모닝동물병원,600,600,600,600,600,600,0,0,1170,1170,1170,1170,1170,1170,0,0,"평일,토요일 10:00~19:30"
788,그레이스동물병원,600,600,600,600,600,600,600,600,1200,1200,1200,1200,1200,1200,1200,1200,매일 10:00~20:00
789,마로동물병원,540,540,540,540,540,540,540,540,1080,1080,1080,1080,1080,1080,1080,1080,
790,강남예치과동물병원,570,570,570,570,570,0,0,0,1110,1110,1110,1110,1110,0,0,0,평일 09:30~18:30
